wavelength(nm)	 TX(1-1)	 Angle(1-1)	wavelength(nm).1	TX(1-2)	 Angle(1-2)	TX(1-3)	 Angle(1-3)	 TX(1-4)	 Angle(1-4)	TX(1-5)	 Angle(1-5)	 TX(1-6)	 Angle(1-6)	TX(1-7)	 Angle(1-7)	  TX(1-8)	 Angle(1-8)
1600.0	0.0221883	-2.44225	1600.79	0.0368297	2.76496	0.0806359	-0.511297	0.0379735	-2.90102	0.274723	0.399258	0.173126	-1.19328	0.010355	0.246734	0.00490612	2.57055
1599.89	0.0192894	-1.35821	1599.05	0.0933787	5.39297	0.0222998	0.592163	0.000185456	-1.6125	0.0587339	0.135887	0.03406	-1.48243	0.00211643	-0.0965599	0.000809873	3.84028
1599.79	0.0167353	-0.274169	1597.3	0.045037	3.85963	0.00125793	2.8333	0.00981711	0.768031	0.00846488	-0.673149	0.00280412	-2.19495	5.41884e-05	-0.441133	1.16007e-05	5.10764
1599.68	0.0144889	0.809874	1595.56	0.201666	2.64212	0.0832185	1.87307	0.0200401	0.435727	0.000643039	-0.913417	7.35274e-05	-2.46452	2.1205e-07	-0.785369	1.71024e-08	6.37772
1599.57	0.0125169	1.89392	1593.83	0.327827	4.5803	0.0657908	1.28041	0.0119057	-1.18777	0.000224087	-3.86328	1.99689e-05	0.0992073	3.84398e-08	0.725926	2.39691e-09	8.79646
1599.47	0.010789	2.97796	1592.1	0.0811766	1.86476	0.0180776	4.37855	0.00683593	1.04798	0.00025377	-2.28096	3.44606e-05	0.552433	1.29501e-07	0.201603	1.10078e-08	8.7472
1599.36	0.00927811	4.06201	1590.37	0.0396636	0.0156868	0.00812232	7.36388	0.00609869	3.06757	0.000614023	-1.10823	8.86899e-05	0.733408	4.80041e-07	-0.369578	4.34722e-08	8.70047
1599.25	0.00795962	5.14605	1588.64	0.100819	-2.06161	0.183743	6.83668	0.113906	2.261	0.0153626	-2.23129	0.00418027	-0.645099	3.8909e-05	-2.12766	7.74153e-06	8.34507
1599.15	0.00681149	6.2301	1586.92	0.10968	-3.26234	0.0587276	8.77247	0.0566811	3.31531	0.0911217	-2.2579	0.0454217	-0.721889	0.00149843	-2.47351	0.000556527	9.61335
1599.04	0.00581394	7.31414	1585.21	0.105088	-6.11423	0.0689263	10.3175	0.045028	5.3699	0.14739	-2.67247	0.119204	-1.13004	0.0224674	-2.81997	0.0122797	10.88
1598.93	0.00494919	8.39819	1583.5	0.46945	-8.22514	0.381012	9.06794	0.325545	4.45537	0.299703	-3.37053	0.269055	-1.77835	0.100466	-3.1591	0.0748237	12.1543
1598.83	0.00420137	9.48224	1581.79	0.582469	-8.21605	0.643624	9.04434	0.607064	4.33713	0.574572	-3.53138	0.539174	-1.96061	0.303613	-3.4969	0.27403	13.4303
1598.72	0.00355625	10.5663	1580.08	0.851836	-8.46051	0.838378	8.79796	0.82754	4.08265	0.801322	-3.79691	0.782846	-2.22743	0.741711	-3.83353	0.722573	14.7075
1598.61	0.00300118	11.6503	1578.38	0.728412	-8.88178	0.728581	8.39586	0.728532	3.68266	0.728701	-4.17244	0.728652	-2.60245	0.728817	-4.17436	0.758309	15.9807
1598.51	0.00252485	12.7344	1576.68	0.501373	-9.31472	0.542491	7.98948	0.512705	3.27713	0.562786	-4.54838	0.537941	-2.97825	0.600579	-4.51606	0.60455	17.2529
1598.4	0.00211725	13.8184	1574.99	0.575227	-9.6736	0.479367	7.64941	0.341376	2.93459	0.369341	-4.88429	0.287242	-3.31513	0.423043	-4.85884	0.37114	18.5241
1598.3	0.00176946	14.9025	1573.3	0.0379329	-7.54784	0.0328811	8.8831	0.0150786	4.60077	0.0232136	-4.23493	0.0117808	-2.23243	0.108071	-5.20348	0.0816245	19.793
1598.19	0.0014736	15.9866	1571.61	0.0214308	-10.3206	0.00279804	6.56904	0.0187654	2.13664	0.0847535	-2.43955	0.0749819	-0.861749	0.0201622	-5.54674	0.0114879	21.0629
1598.08	0.00122272	17.0706	1569.93	0.147932	-8.99395	0.0325378	8.93442	0.033592	3.18879	0.0551316	-2.3822	0.0323065	-0.891005	0.00226321	-5.88848	0.000833294	22.3339
1597.98	0.00101068	18.1547	1568.25	0.0467368	-10.9578	0.0191157	6.33981	0.0148248	1.63191	0.00406045	-3.08001	0.00157134	-1.51162	4.83284e-05	-6.2285	1.00905e-05	23.6072
1597.87	0.000832081	19.2387	1566.57	0.0125933	-12.152	0.0187478	5.08511	0.00636762	0.680329	0.000326093	-3.68729	3.78636e-05	-2.06667	1.42071e-07	-6.57152	1.1148e-08	24.8785
1597.76	0.00068219	20.3228	1564.9	0.168018	-14.6946	0.00518564	5.58568	0.000184225	0.792614	6.07363e-07	-4.01733	1.11599e-08	-2.51464	4.0497e-12	-7.32291	5.23072e-14	25.6839
1597.66	0.000556865	21.4069	1563.23	0.000648259	-15.7334	0.015656	3.97487	0.00358276	-2.09893	8.92164e-05	-1.99138	7.26067e-06	-1.57462	1.38416e-08	-7.66433	7.76045e-10	25.9227
1597.55	0.000452493	22.4909	1561.56	0.0552191	-12.7823	0.0374418	6.67369	0.0186022	-0.239703	0.00108653	-0.665619	0.000232795	-1.25843	1.5042e-06	-7.92163	2.02143e-07	26.155
1597.44	0.000365928	23.575	1559.9	0.108447	-10.2037	0.0696166	9.7959	0.0596145	2.35378	0.0124127	1.2241	0.00374621	-0.294418	5.56122e-05	-7.93125	1.10523e-05	26.8317
1597.34	0.000294443	24.6591	1558.24	0.0217348	-10.2826	0.105793	10.9089	0.145135	2.94223	0.0662892	1.22191	0.0356826	-0.362187	0.0016187	-8.27513	0.000609673	28.1009
1597.23	0.000235679	25.7432	1556.59	0.0976661	-13.3118	0.0431486	13.9972	0.0141968	5.68543	0.0322296	1.49655	0.0327986	-0.278494	0.019455	-8.61731	0.0110455	29.3715
1597.13	0.000187602	26.8273	1554.93	0.240736	-16.2867	0.122432	16.5283	0.0406758	8.76817	0.0439662	3.82623	0.0137489	2.36928	0.135471	-8.96069	0.0984863	30.6414
1597.02	0.000148467	27.9114	1553.29	0.0733185	-16.7953	0.12893	16.1405	0.0863406	8.28975	0.172002	3.45378	0.128831	1.89658	0.314379	-9.30612	0.284282	31.9102
1596.91	0.000116777	28.9955	1551.64	0.45396	-17.5327	0.497238	15.4588	0.469782	7.60395	0.531684	2.90047	0.507622	1.32844	0.598275	-9.65209	0.60152	33.1786
1596.81	9.12604e-05	30.0796	1550.0	0.966998	-17.8463	0.967138	15.1395	0.968427	7.28431	0.968566	2.57099	0.969858	0.999028	0.969997	-9.99748	0.974895	34.4473
1596.7	7.08345e-05	31.1637	1548.36	0.712637	-18.1581	0.702816	14.8234	0.693484	6.9671	0.663317	2.24555	0.649135	0.673194	0.593377	-10.3397	0.596552	35.7183
1596.59	5.45852e-05	32.2478	1546.73	0.456178	-18.1583	0.431175	14.7006	0.434282	6.8109	0.409232	2.00367	0.390223	0.425874	0.310643	-10.6815	0.280711	36.9897
1596.49	4.17437e-05	33.3319	1545.1	0.257216	-19.6589	0.257015	13.7239	0.25899	5.98477	0.305699	1.40267	0.283541	-0.152879	0.133601	-11.0238	0.0969068	38.2603
1596.38	3.16659e-05	34.416	1543.47	0.0597755	-18.1209	0.17392	14.0455	0.0696912	6.48416	0.284226	1.02281	0.202984	-0.526636	0.0193491	-11.367	0.010923	39.531
1596.28	2.38155e-05	35.5001	1541.85	0.0599437	-16.4496	0.0637769	11.4401	0.0901877	9.38638	0.106149	0.998758	0.0525033	-0.594156	0.00158288	-11.7102	0.000591934	40.8019
1596.17	1.77483e-05	36.5843	1540.23	0.0519708	-19.5305	0.00232366	10.0131	0.0134214	8.74627	0.00948259	0.749861	0.00299238	-0.872311	5.30177e-05	-12.0529	1.04573e-05	42.0743
1596.06	1.30985e-05	37.6684	1538.61	0.0449197	-19.9263	0.00732336	11.2088	0.00793238	10.355	0.00150227	3.44066	0.000294553	-3.49475	2.6038e-06	-13.4512	3.12451e-07	43.1583
1595.96	9.56675e-06	38.7526	1537.0	0.181632	-20.0916	0.0616348	12.4902	0.0122205	12.951	0.000310442	0.939365	2.91193e-05	-5.00567	6.70913e-08	-13.9967	4.39091e-09	45.2478
1595.85	6.9099e-06	39.8367	1535.39	0.103993	-22.9423	0.0131424	15.2649	0.00106336	10.1552	9.69263e-06	-1.33102	3.72518e-07	-6.31548	3.19995e-10	-14.5409	8.5639e-12	47.3136
1595.74	4.93166e-06	40.9209	1533.78	0.0328407	-23.7143	0.0051965	14.9438	0.00269726	10.3706	0.000231275	-0.657384	2.98112e-05	-5.41775	1.56546e-07	-13.4273	1.23258e-08	50.2949
1595.64	3.47486e-06	42.005	1532.17	0.0468684	-24.8606	0.000731551	14.0568	0.0101461	9.32394	0.00837696	-1.45283	0.00270718	-6.11449	4.90309e-05	-13.7735	1.03967e-05	51.5648
1595.53	2.41475e-06	43.0892	1530.57	0.0524313	-21.8422	0.065083	13.0895	0.102485	8.84137	0.135824	-1.67072	0.0686289	-6.36805	0.00215757	-14.1206	0.000815098	52.8295
1595.43	1.65315e-06	44.1734	1528.98	0.0878805	-20.1234	0.211053	10.4611	0.0904598	11.7724	0.298508	-1.70093	0.215804	-6.44078	0.0219635	-14.4664	0.0124993	54.0968
1595.32	1.11356e-06	45.2576	1527.38	0.151124	-18.6646	0.169416	10.7053	0.17859	12.1616	0.220188	-2.11139	0.205547	-6.84046	0.103729	-14.8105	0.0790215	55.367
1595.21	7.36983e-07	46.3418	1525.79	0.550232	-20.1942	0.515589	9.75493	0.515165	11.355	0.478482	-2.69796	0.455466	-7.40674	0.362953	-15.1536	0.325118	56.6384
1595.11	4.78461e-07	47.426	1524.21	0.799989	-20.2275	0.789353	9.62002	0.778075	11.1906	0.746158	-2.94117	0.729942	-7.65432	0.671432	-15.4968	0.666496	57.9098
1595.0	3.04146e-07	48.5102	1522.62	0.696347	-20.5502	0.696384	9.29405	0.696353	10.8641	0.696393	-3.274	0.696361	-7.98716	0.696389	-15.8421	0.72859	59.1788
1594.9	3.24274e-07	49.2671	1521.04	0.459106	-20.8698	0.507301	8.9702	0.475355	10.54	0.546374	-3.60593	0.518137	-8.31893	0.626001	-16.1874	0.621751	60.4475
1594.79	3.49337e-07	50.0165	1519.47	0.0824623	-21.6724	0.149766	8.25762	0.0978906	9.8186	0.197597	-4.17127	0.145897	-8.90156	0.360786	-16.533	0.317825	61.7159
1594.68	3.75769e-07	50.7659	1517.89	0.190249	-21.9903	0.0902437	7.9801	0.0289252	9.47152	0.0292076	-4.49158	0.00828965	-9.31272	0.0945904	-16.8802	0.0707896	62.9826
1594.58	4.03592e-07	51.5154	1516.32	0.0971529	-24.8448	0.0441835	10.5982	0.014361	6.38392	0.0380698	-2.15177	0.0370772	-6.68661	0.0180831	-17.2286	0.0100572	64.2485
1594.47	4.32833e-07	52.2651	1514.75	0.0169204	-21.8767	0.140829	13.6397	0.189992	8.99575	0.0817748	-1.90957	0.043155	-6.61502	0.00185096	-17.5783	0.000663751	65.5139
1594.37	4.63522e-07	53.0149	1513.19	0.0817295	-21.6928	0.0429551	14.6838	0.0380537	9.52156	0.00821018	-1.92674	0.00241829	-6.69557	3.48715e-05	-17.9214	7.00568e-06	66.7856
1594.26	4.95699e-07	53.765	1511.63	0.005612	-23.4088	0.00775315	13.1432	0.00215705	8.46041	0.000110244	-2.52085	1.39189e-05	-7.23978	7.88603e-08	-18.2467	5.76173e-09	68.0701
1594.15	5.2941e-07	54.5153	1510.07	7.14755e-05	-25.205	0.000307796	12.0202	9.31816e-06	7.58172	3.44239e-08	-3.06945	3.52155e-10	-7.72065	1.07705e-13	-18.3878	6.6665e-16	69.4873
1594.05	5.64718e-07	55.2661	1508.52	0.58427	-26.0497	0.050382	14.2492	0.00595494	10.4603	6.08391e-05	-5.84812	3.77049e-06	-9.63958	4.27711e-09	-19.6842	1.94718e-10	70.7917
1593.94	6.01702e-07	56.0173	1506.97	0.0329716	-23.4683	0.10079	16.8405	0.0487595	7.52049	0.00215767	-8.24681	0.000420096	-11.0867	1.51644e-06	-20.4725	2.22437e-07	72.6246
1593.84	6.40458e-07	56.7689	1505.42	0.0575965	-21.4635	0.0305808	17.9271	0.026019	9.78323	0.00709154	-11.1722	0.00296943	-12.9906	9.30615e-05	-21.3031	2.10776e-05	74.4105
1593.73	6.81109e-07	57.521	1503.87	0.13155	-22.9837	0.0323174	15.5683	0.0332372	8.64299	0.0482139	-10.9217	0.0284616	-12.4181	0.00200401	-19.9937	0.000774732	71.2532
1593.63	7.23807e-07	58.2737	1502.33	0.0196966	-21.7534	0.00277412	18.3094	0.0146211	9.88485	0.0751979	-10.8355	0.068084	-12.4235	0.020334	-20.3375	0.0118926	72.524
1593.52	7.68726e-07	59.0269															
1593.41	8.16081e-07	59.7806															
1593.31	8.66125e-07	60.535															
1593.2	9.19145e-07	61.2899															
1593.1	9.75474e-07	62.0453															
1592.99	1.03549e-06	62.8013															
1592.89	1.09962e-06	63.5577															
1592.78	1.16833e-06	64.3145															
1592.67	1.24213e-06	65.0717															
1592.57	1.3216e-06	65.8292															
1592.46	1.40734e-06	66.5868															
1592.36	1.50002e-06	67.3446															
1592.25	1.60031e-06	68.1023															
1592.15	1.70894e-06	68.86															
1592.04	1.82667e-06	69.6175															
1591.93	1.95427e-06	70.3747															
1591.83	2.09251e-06	71.1316															
1591.72	2.24216e-06	71.888															
1591.62	2.40398e-06	72.6439															
1591.51	2.57867e-06	73.3992															
1591.41	2.76689e-06	74.1538															
1591.3	2.96924e-06	74.9078															
1591.2	3.18619e-06	75.661															
1591.09	3.41815e-06	76.4135															
1590.98	3.66533e-06	77.1652															
1590.88	3.92784e-06	77.9162															
1590.77	4.20561e-06	78.6664															
1590.67	4.49837e-06	79.416															
1590.56	4.8057e-06	80.1649															
1590.46	5.12698e-06	80.9132															
1590.35	5.4614e-06	81.661															
1590.25	5.808e-06	82.4084															
1590.14	6.16564e-06	83.1553															
1590.04	6.53311e-06	83.9021															
1589.93	8.24425e-06	84.8716															
1589.83	1.12826e-05	85.9558															
1589.72	1.52765e-05	87.04															
1589.61	2.04786e-05	88.1242															
1589.51	2.71961e-05	89.2084															
1589.4	3.58005e-05	90.2926															
1589.3	4.67385e-05	91.3768															
1589.19	6.05439e-05	92.461															
1589.09	7.78512e-05	93.5452															
1588.98	9.94111e-05	94.6294															
1588.88	0.000126107	95.7136															
1588.77	0.000158976	96.7978															
1588.67	0.000199225	97.882															
1588.56	0.000248261	98.9662															
1588.46	0.000307711	100.05															
1588.35	0.000379453	101.135															
1588.25	0.000465649	102.219															
1588.14	0.000568776	103.303															
1588.04	0.000691663	104.387															
1587.93	0.000837539	105.471															
1587.83	0.00101007	106.555															
1587.72	0.00121341	107.64															
1587.62	0.00145227	108.724															
1587.51	0.00173194	109.808															
1587.41	0.0020584	110.892															
1587.3	0.00243833	111.976															
1587.2	0.00287926	113.06															
1587.09	0.00338958	114.144															
1586.99	0.00397866	115.229															
1586.88	0.00465695	116.313															
1586.78	0.00543605	117.397															
1586.67	0.00632889	118.481															
1586.57	0.00734974	119.565															
1586.46	0.00851444	120.649															
1586.36	0.00984048	121.733															
1586.25	0.0113472	122.817															
1586.15	0.0130557	123.901															
1586.04	0.0149896	124.986															
1585.94	0.0171746	126.07															
